,TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE, Cost_TRIE_STREAMING_fix1_x, ExecutionTime_TRIE_STREAMING_fix1_x, Cost_TRIE_STREAMING_fix1_y, ExecutionTime_TRIE_STREAMING_fix1_y, Cost_TRIE_STREAMING_fix1, ExecutionTime_TRIE_STREAMING_fix1, Cost_TRIE_STREAMING_fix3_x, ExecutionTime_TRIE_STREAMING_fix3_x, Cost_TRIE_STREAMING_fix3_y, ExecutionTime_TRIE_STREAMING_fix3_y, Cost_TRIE_STREAMING_fix3, ExecutionTime_TRIE_STREAMING_fix3, Cost_TRIE_STREAMING_fix5_x, ExecutionTime_TRIE_STREAMING_fix5_x, Cost_TRIE_STREAMING_fix5_y, ExecutionTime_TRIE_STREAMING_fix5_y, Cost_TRIE_STREAMING_fix5, ExecutionTime_TRIE_STREAMING_fix5, Cost_TRIE_STREAMING_disc1_x, ExecutionTime_TRIE_STREAMING_disc1_x, Cost_TRIE_STREAMING_disc1_y, ExecutionTime_TRIE_STREAMING_disc1_y, Cost_TRIE_STREAMING_disc1, ExecutionTime_TRIE_STREAMING_disc1, Cost_TRIE_STREAMING_disc3_x, ExecutionTime_TRIE_STREAMING_disc3_x, Cost_TRIE_STREAMING_disc3_y, ExecutionTime_TRIE_STREAMING_disc3_y, Cost_TRIE_STREAMING_disc3, ExecutionTime_TRIE_STREAMING_disc3, Cost_TRIE_STREAMING_disc5_x, ExecutionTime_TRIE_STREAMING_disc5_x, Cost_TRIE_STREAMING_disc5_y, ExecutionTime_TRIE_STREAMING_disc5_y, Cost_TRIE_STREAMING_disc5, ExecutionTime_TRIE_STREAMING_disc5
0,0,6,102,6,2,6,2,6,3,6,2,6,1,6,2,6,2,6,2,6,2,6,2,6,3,6,2,6,2,6,2,6,2,6,2,6,2,6,2
1,1,45,7055,46,1717,46,1609,46,1330,46,1452,46,1590,46,1460,46,2305,46,1269,46,1680,46,1646,46,2182,46,1874,46,1185,46,1420,46,1361,46,2145,46,1693,46,1644
2,2,36,3913,37,1699,37,1825,37,1450,37,1836,37,2070,37,1754,37,2665,37,1582,37,1940,37,1425,37,1782,37,1740,37,1419,37,1504,37,2000,37,2189,37,1795,37,1986
3,3,50,7000,51,1664,51,1725,51,1504,51,2420,51,1780,51,1629,51,2467,51,1323,51,1790,51,1786,51,2117,51,1846,51,1283,51,1597,51,1618,51,2000,51,1764,51,1679
4,4,89,19900,90,1674,90,1708,90,1393,90,2114,90,1748,90,1952,90,2751,90,1287,90,1581,90,1454,90,2059,90,1761,90,1445,90,1634,90,1731,90,2082,90,1729,90,1523
5,5,26,2316,27,357,27,385,27,301,27,844,27,691,27,692,27,3153,27,940,27,1095,27,367,27,438,27,328,27,756,27,647,27,695,27,1539,27,1815,27,1268
6,6,32,3191,33,1503,33,1745,33,1286,33,1856,33,1604,33,1369,33,2296,33,1239,33,1782,33,1088,33,1759,33,1569,33,1308,33,1530,33,1724,33,2154,33,1383,33,1635
7,7,56,8446,57,1837,57,2219,57,1369,57,1879,57,1354,57,1518,57,3061,57,1571,57,1445,57,1570,57,1848,57,1874,57,1309,57,1551,57,1721,57,2034,57,1401,57,1681
8,8,37,4129,38,1738,38,1708,38,1358,38,1751,38,1526,38,1731,38,2080,38,1828,38,1953,38,1556,38,1910,38,1634,38,1169,38,1488,38,1494,38,1984,38,1392,38,1538
9,9,39,4530,40,1691,40,1787,40,1364,40,2582,40,3305,40,2315,40,4601,40,1230,40,1766,40,1601,40,2209,40,1711,40,1316,40,1587,40,1867,40,1874,40,1406,40,1641
10,10,27,2432,28,630,28,573,28,471,28,1191,28,1739,28,1007,28,1288,28,1037,28,1228,28,474,28,757,28,548,28,1422,28,1009,28,1209,28,1765,28,1189,28,1407
11,11,48,6454,49,1711,49,1824,49,1405,49,1861,49,4864,49,1396,49,1300,49,1230,49,1655,49,1534,49,1946,49,1649,49,1213,49,2149,49,1751,49,1996,49,1402,49,1636
12,12,47,6209,48,2114,48,1704,48,1458,48,1523,48,5999,48,1470,48,1507,48,1263,48,1642,48,1329,48,1906,48,1691,48,1193,48,2634,48,1636,48,1999,48,1400,48,1609
13,13,38,4298,39,1898,39,1722,39,1371,39,1738,39,3581,39,1596,39,1769,39,1421,39,1830,39,1538,39,1897,39,1556,39,1209,39,1610,39,1616,39,2118,39,1396,39,1621
14,14,64,10696,65,2097,65,2041,65,1383,65,1527,65,3066,65,1961,65,2104,65,1249,65,1764,65,1742,65,1894,65,1663,65,1211,65,1474,65,1773,65,1989,65,1419,65,1535
15,15,30,2862,31,1337,31,1767,31,1022,31,1639,31,2742,31,1535,31,2010,31,1436,31,1399,31,1398,31,1480,31,1298,31,1094,31,1216,31,1516,31,1946,31,1415,31,1592
16,16,44,5522,45,1694,45,2273,45,1358,45,1704,45,1911,45,2318,45,1477,45,1254,45,1441,45,1760,45,1913,45,1700,45,1201,45,1534,45,1593,45,1915,45,1400,45,1653
17,17,32,3215,33,1558,33,1524,33,1243,33,1593,33,2118,33,1847,33,1842,33,1412,33,1367,33,1659,33,2113,33,1790,33,1157,33,1443,33,1367,33,2028,33,1444,33,1651
18,18,46,5993,47,1696,47,1698,47,1389,47,1434,47,1728,47,1536,47,1954,47,1255,47,1340,47,1746,47,2260,47,1842,47,1227,47,2066,47,1499,47,2045,47,1400,47,1500
19,19,43,5318,44,1692,44,1627,44,1349,44,1498,44,2116,44,1772,44,1626,44,1241,44,1627,44,1878,44,2135,44,1589,44,1214,44,1397,44,1374,44,2202,44,1432,44,1895
20,20,52,7493,53,1718,53,1681,53,1379,53,1731,53,1832,53,1652,53,1949,53,1333,53,1436,53,1826,53,2067,53,1831,53,1204,53,1431,53,1483,53,2189,53,1403,53,1465
21,21,44,5514,45,1611,45,1666,45,1374,45,1618,45,1797,45,1584,45,1573,45,1711,45,1566,45,2065,45,2389,45,4679,45,1205,45,1563,45,1779,45,2049,45,1430,45,1480
22,22,32,3228,33,1736,33,1578,33,1260,33,1438,33,2139,33,1373,33,1352,33,1556,33,1503,33,1839,33,2238,33,1473,33,1223,33,1810,33,2315,33,2048,33,1389,33,1484
