TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,79,7
1,92,12
2,54,13
3,57,15
4,32,7
5,59,13
6,80,18
7,79,6
8,72,31
9,41,11
10,40,2
11,46,8
12,44,13
13,74,7
14,39,5
15,79,6
16,79,7
17,92,9
18,54,13
19,57,15
20,32,5
21,59,10
22,80,14
23,79,6
24,72,18
25,41,12
26,40,2
27,46,7
28,44,12
29,74,7
30,39,7
31,79,6
32,79,5
33,92,11
34,54,13
35,57,15
36,32,8
37,59,10
38,80,15
39,79,7
40,72,20
41,41,10
42,40,2
43,46,7
44,44,13
45,74,7
46,39,6
47,79,5
48,79,5
49,92,9
50,54,13
51,57,13
52,32,6
53,59,9
54,80,16
55,79,5
56,72,32
57,41,11
58,40,2
59,46,6
60,44,12
61,74,7
62,39,5
63,79,6
64,79,4
65,92,12
66,54,16
67,57,18
68,32,10
69,59,14
70,80,23
71,79,9
72,72,19
73,41,10
74,40,1
75,46,7
76,44,12
77,74,7
78,39,6
79,79,4
80,79,5
81,92,8
82,54,13
83,57,15
84,32,8
85,59,13
86,80,21
87,79,6
88,72,26
89,41,17
90,40,3
91,46,9
92,44,16
93,74,7
94,39,7
95,79,6
96,0,4
97,92,14
98,54,18
99,57,18
